"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
19564,"KCUB","medium_airport","Jim Hamilton L.B. Owens Airport",33.970500946,-80.9952011108,193,"NA","US","US-SC","Columbia","no","KCUB","CUB","CUB","http://www.columbiasouthcarolina.com/owens.html","http://en.wikipedia.org/wiki/Jim_Hamilton_%E2%80%93_L.B._Owens_Airport",
3471,"KCVG","large_airport","Cincinnati Northern Kentucky International Airport",39.0488014221,-84.6678009033,896,"NA","US","US-KY","Cincinnati","yes","KCVG","CVG","CVG",,"http://en.wikipedia.org/wiki/Cincinnati/Northern_Kentucky_International_Airport",
3472,"KCVO","medium_airport","Corvallis Municipal Airport",44.49720001,-123.2900009,250,"NA","US","US-OR","Corvallis","no","KCVO","CVO","CVO","http://www.corvallisoregon.gov/index.aspx?page=160","http://en.wikipedia.org/wiki/Corvallis_Municipal_Airport","Albany Oregon"
3473,"KCVS","large_airport","Cannon Air Force Base",34.3828010559,-103.321998596,4295,"NA","US","US-NM","Clovis","no","KCVS","CVS","CVS","http://www.cannon.af.mil/","http://en.wikipedia.org/wiki/Cannon_Air_Force_Base",
19571,"KCWA","medium_airport","Central Wisconsin Airport",44.7775993347,-89.6668014526,1277,"NA","US","US-WI","Mosinee","no","KCWA","CWA","CWA",,,
3475,"KCXO","medium_airport","Lone Star Executive Airport",30.3518009186,-95.4144973755,245,"NA","US","US-TX","Houston","no","KCXO","CXO","CXO","http://www.co.montgomery.tx.us/air/","http://en.wikipedia.org/wiki/Lone_Star_Executive_Airport","Montgomery County Airport"
3476,"KCYS","medium_airport","Cheyenne Regional Jerry Olson Field",41.15570068,-104.8119965,6159,"NA","US","US-WY","Cheyenne","yes","KCYS","CYS","CYS",,"http://en.wikipedia.org/wiki/Cheyenne_Regional_Airport",
3477,"KDAA","medium_airport","Davison Army Air Field",38.7150001526,-77.1809997559,73,"NA","US","US-VA","Fort Belvoir","no","KDAA","DAA","DAA",,"http://en.wikipedia.org/wiki/Davison_Army_Airfield",
3478,"KDAB","medium_airport","Daytona Beach International Airport",29.1798992156982,-81.0580978393555,34,"NA","US","US-FL","Daytona Beach","yes","KDAB","DAB","DAB",,"http://en.wikipedia.org/wiki/Daytona_Beach_International_Airport",
19615,"KDAG","medium_airport","Barstow Daggett Airport",34.85369873,-116.7870026,1930,"NA","US","US-CA","Daggett","no","KDAG","DAG","DAG",,"http://en.wikipedia.org/wiki/Barstow-Daggett_Airport",
